gene,gen1,gen2,gen3,gen4,,gene,gen1,gen2_alt,gen3_alt,gen4_alt
Beaver,Baxlee,Burlodge,Barkdam,Breakwater,,Beaver,Baxlee,Lodgebite,Breakwater,Timberdam
Bovine,Boaz,Bodan,Brayhorn,Bullforge,,Bovine,Boaz,Pasturorn,Brayhorn,Bullforge
Bear,Bromley,Braglan,Brawnpaw,Borealord,,Bear,Bromley,Oakmaul,Grizzleback,Borealord
Badger,Brynly,Bryntar,Bryndel,Brynbur,,Badger,Brynly,Deepburrow,Quarryfang,Barrowking
Chicken,Chalkly,Charex,Chawcomb,Chargecrest,,Chicken,Chalkly,Scratchlet,Rousecomb,Chargecrest
Cheetah,Chantz,Chanzip,Chazrush,Chasebolt,,Cheetah,Chantz,Quickstep,Trailrush,Chasebolt
Crab,Clause,Claven,Clawpinch,Clamprex,,Crab,Clause,Shorecutter,Pinchreef,Clamprex
Crocodile,Claxton,Claxguard,Clastodon,Clagator,,Crocodile,Claxton,Mudjaw,Scaleback,Clagator
Camel,Cobie,Cobrune,Cobback,Cobguard,,Camel,Cobie,Dunecarve,Packspine,Caravanguard
Duck,Dalton,Darmor,Driftboost,Driftflare,,Duck,Dalton,Quillwake,Driftwing,Driftflare
Dodo,Dart,Darvo,Darsen,Doldrum,,Dodo,Dart,Plodder,Stumblecrest,Doldrum
Dragon,Daxton,Daxrel,Drakstorm,Drakford,,Dragon,Daxton,Wyverline,Drakstorm,Drakspire
Giraffe,Django,Djarin,Duskveil,Duskspirit,,Giraffe,Django,Skyladder,Duskveil,Duskspirit
Dolphin,Dottie,Dorsail,Downtide,Dashpulse,,Dolphin,Dottie,Slickfin,Surfturn,Dashpulse
Deer,Drucie,Drustel,Drethorn,Dewfrost,,Deer,Drucie,Leafstep,Thornbloom,Dewfrost
Elephant,Emyra,Emyrin,Emyrock,Empyrium,,Elephant,Emyra,Stonegait,Tuskwarden,Empyrium
Eagle,Everett,Evraze,Everscout,Evershear,,Eagle,Everett,Suncrest,Talonwatch,Evershear
Frog,Fender,Fendrix,Fenstride,Fenward,,Frog,Fender,Pondskip,Fenstride,Fenward
Fish,Fulure,Fyrune,Fyrdark,Fyrion,,Fish,Fulure,Currenta,Brinelume,Fyrion
Flamingo,Fortuna,Forlina,Flarewing,Flammirage,,Flamingo,Fortuna,Reedflair,Blushwing,Flammirage
Falcon,Fulton,Fulcrest,Faltalon,Falcspear,,Falcon,Fulton,Windcrest,Talonstrike,Falcspear
Gorilla,Gideon,Gidrel,Gidshot,Grandbarrel,,Gorilla,Gideon,Knuckleholt,Thunderdrome,Granbaron
Goat,Gunder,Gundrok,Gundram,Goralhorn,,Goat,Gunder,Cragstep,Rockhorn,Goralhorn
Hippo,Hector,Heftin,Heftmud,Heftide,,Hippo,Hector,Bogheft,Miresurge,Heftorrent
Hawk,Holden,Holmar,Highcliff,Headwind,,Hawk,Holden,Updraft,Highcliff,Headwind
Jellyfish,Jupiter,Jupril,Jupilux,Juphera,,Jellyfish,Jupiter,Medusgleam,Voltish,Ju­phera
Kangaroo,Keats,Keanar,Kickbane,Kangrath,,Kangaroo,Keats,Bounceward,Boundrush,Kangarift
Lion,Lennox,Lenvar,Lenpride,Lenmane,,Lion,Lennox,Sunpride,Rumblemane,Lenmane
Lizard,Ludvik,Ludvex,Ludvine,Lithscale,,Lizard,Ludvik,Slatecreep,Crevicescale,Lithscale
Monkey,Malaki,Malakor,Malvern,Maldrak,,Monkey,Malaki,Limbskip,Boughrider,Maldrak
Mammoth,Minerva,Minervax,Minetusk,Monolith,,Mammoth,Minerva,Permafrost,Glacetusk,Monolith
Moose,Morfyn,Morfelk,Morfrost,Mornstag,,Moose,Morfyn,Marshstride,Frostbrow,Mornstag
Owl,Orson,Orzrel,Orbrow,Orbisage,,Owl,Orson,Nightblink,Quietbrow,Orbisage
Octopus,Ova,Ovarin,Ovacron,Ovanox,,Octopus,Ova,Inkravel,Gripvault,Ovanox
Pig,Pezi,Pezmar,Pezeron,Pezerk,,Pig,Pezi,Rootsnout,Boarbeat,Pezerk
Penguin,Piper,Pipraxis,Polerix,Polamarch,,Penguin,Piper,Snowpebble,Glideguard,Polamarch
