type,prefix,no,location,moonCycle,origin,artist,description,attributes__category,attributes__gender,no (new),name,gene,moonPhase,image,attributes__trait1,attributes__trait2,attributes__mobility,attributes__intelligence,attributes__ability,attributes__aura,attributes__spirit,attributes__generation
Character,MCSPE,1,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1001,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmeZPkLQ1U6oakgb7RhBnBHRVdBYWmnmQ9uPKAW4SUjaV7,Knowledge,Leader,1,3,2,,,1
Character,MCSPE,2,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1002,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmXqYfistfFYcwqwMvrCUPpNQoqMEaSu7chx8HufTmWfvF,Knowledge,Leader,1,3,2,,,1
Character,MCSPE,3,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1003,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmTZfETUFAXeAd57w8mC2GiuMuGg6LDwh8rEVWhbpuPL7R,Knowledge,Leader,1,2,2,,,1
Character,MCSPE,4,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1004,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmZA8bkCfxCTxoqhLkMJvVthB3CtkLJ6zVeASMUxwWyzSq,Knowledge,Leader,1,1,2,,,1
Character,MCSPE,5,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1005,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmQNioMxGtym1jXe97ifew3XuCgKy8n3GjfzUAPktMkVb2,Knowledge,Leader,3,1,1,,,1
Character,MCSPE,6,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1006,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmawkT8gv71JXZeGtqFxpMYXPq5RUyNLpirnbfWziCeHUf,Knowledge,Leader,1,2,1,,,1
Character,MCSPE,7,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1007,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmfDektiqbsaXKNZXw5v6sFvGPz2ezJBgxdYSUe1Z76QSv,Knowledge,Leader,2,1,1,,,1
Character,MCSPE,8,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1008,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmWqbpGhe8H7gBPWeGzVEjaihvkYQQe2kWyUbhkyxBtL7v,Knowledge,Leader,1,2,3,,,1
Character,MCSPE,9,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1009,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmTjqVrHC8gCrSZ4JEjbTWQ5ThvVbCj6ngSfAyGqSfvBK5,Knowledge,Leader,3,1,1,,,1
Character,MCSPE,10,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1010,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmXmgggt3RVdMLaxPDoyBruveLzUndyXgdhkUezY3d18PV,Knowledge,Leader,1,3,1,,,1
