prefix,name,gene,moonPhase,attributes__generation,description,image,attributes__trait1,attributes__trait2,attributes__mobility,attributes__intelligence,attributes__ability,attributes__aura,attributes__spirit
MCSPE,Speers,Sabretooth,New Moon,1,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",https://ipfs.tothemoon.net/ipfs/QmeZPkLQ1U6oakgb7RhBnBHRVdBYWmnmQ9uPKAW4SUjaV7,Knowledge,Leader,,,,,
MCSPEB,Speers,Sabretooth,Waxing Crescent,2,"Speers is nobody’s fool as it brings unmatched intelligence to the gang. This saber-toothed tiger is a strong, reliable guide who uses its experience to pave the way.",https://ttm.mypinata.cloud/ipfs/QmfXyqisYLSWGZFmkSycHFrZCNeGSW9XuzcQktV5XPhanr,Knowledge,Leader,,,,,
MCSPEC,Speers,Sabretooth,First Quarter,3,"With canine teeth like those, who wouldn’t follow his orders? Just kidding, Speers doesn’t need fear to inspire others, it just does so naturally with its intellect and valor. That’s what makes this saber-tooth tiger the chief it is.",https://ipfs.tothemoon.net/ipfs/QmXQH73KHfE1xQgJJQJMntBJnRENjmVCi7zExsjzYXNShc,Knowledge,Leader,,,,,
MCSPED,Speers,Sabretooth,Waxing Gibbous,4,"As a prehistoric mammal, Speers naturally paves the way on the path of evolution. It's in its bones and those massive canine teeth. This saber-tooth tiger has even more wisdom to lend than in its earlier years.",https://ipfs.tothemoon.net/ipfs/bafkreia3uj53k33ieyeysmspm4lsnr7y4z6et4zqhslu66ybaiozyuusfm,Knowledge,Leader,,,,,
MCHE,Hector,Hippo,New Moon,1,There's only sunshine in Hector's forecast. This hippopotamus is always excited to see what each day has to offer. It is also extremely mindful and honest.,https://ipfs.tothemoon.net/ipfs/QmVGQQcEkMU1j89GuNUDwXkN6swMZZzNX7UZNphY7Vb9XE,Conscientousness,Enthusiasm,,,,,
MCHEB,Hector,Hippo,Waxing Crescent,2,"With more pep in its step, Hector is one happy hippo. It is beyond genuine and always holds itself and others to a high moral standard, thank goodness its amazing attitude keeps that from being a drag to those it cares about.",https://ttm.mypinata.cloud/ipfs/QmYr2UbJ4JBxDV7ZxVjnmE5EhpgRttD9QzPem1jPW7TSus,Conscientousness,Enthusiasm,,,,,
MCHEC,Hector,Hippo,First Quarter,3,"Don’t let its growing size and chompers fool you, Hector is all cheer! This honorable hippo will always choose to do the right thing. Others even consult it on the topic because of its ability to remain high-minded in tough situations.",https://ipfs.tothemoon.net/ipfs/QmcEt8aAGkeCtEw4Ju4fK8mSqenfkkXs3vSaH5kUUA8NMQ,Conscientiousness,Enthusiasm,,,,,
MCHED,Hector,Hippo,Waxing Gibbous,4,Hungry hippo? Try happy hippo! What's not to be happy about when you live true to your principles. Hector has become the master of knowing right from wrong and it lets that guide the way.,https://ipfs.tothemoon.net/ipfs/bafkreidwmnrn56q6jwevhr7mpdksjfbprrlgpaqietsjp6iwfg4gzl3qfm,Conscientiousness,Enthusiasm,,,,,
MCLU,Ludvik,Lizard,New Moon,1,"Ludvik would take the scales off its back and give them to a friend in need. It is a considerate, heart-on-the-sleeve type lizard.",https://ipfs.tothemoon.net/ipfs/QmVrbHYrvntXKM2zQGzB4G8GL2gA2uybbvacLip1oBacpQ,Humility,Generosity,,,,,
MCLUB,Ludvik,Lizard,Waxing Crescent,2,Who said reptiles are cold-blooded? Not anyone who’s met Ludvik. This lizard is among the kindest of the bunch and its undeniable warmth has only increased with time.,https://ttm.mypinata.cloud/ipfs/QmdoyxJ9oH5DZ2YiAuCPmPUTJYBsTibagyD26BoQbMgcVQ,Humility,Generosity,,,,,
MCLUC,Ludvik,Lizard,First Quarter,3,"If Ludvik’s size will be any representation of its massive heart, then this benevolent reptile will have to grow into the frame of the komodo dragon! This lizard is a compassionate creature who never turns down those in need.",https://ipfs.tothemoon.net/ipfs/QmNgNwi7ubtRc3XWk4TmjjDUmLtvbcrPbU44rDbPT33jFV,Humility,Generosity,,,,,
MCLUD,Ludvik,Lizard,Waxing Gibbous,4,"It must be hard to stay so grounded when you've grown into such a powerful, awe-inspiring creature. Not for Ludvik! Regardless of its new upgraded features, this lizard hasn't forgotten the most important one that's been there from the beginning- its heart.",https://ipfs.tothemoon.net/ipfs/bafkreihvrbhn3o3cdakakalfmavpfpsdvdwhohcp5473hg6d2eibxsm2xm,Humility,Generosity,,,,,
MCM,Malaki,Monkey,New Moon,1,"Monkey see does not as Monkey do with Malaki. This creature isn't afraid to go down its own path when it comes to learning and exploring, which it loves to do- all while having a good laugh.",https://ipfs.tothemoon.net/ipfs/QmWze9nnUoZVDXj8EShDAgiTRgnZ8MDLfyo3B3LfRBwhqB,Humor,Curiosity,,,,,
MCMB,Malaki,Monkey,Waxing Crescent,2,"Malaki may appear a bit more dignified and serious, but it is still the same cheeky monkey. Its jokes always come along on the journey of exploration.",https://ttm.mypinata.cloud/ipfs/QmP2NJvG89UjD6GCC2eEZVQ7hq39xyirjkSt8hic2tT9gz,Humor,Curiosity,,,,,
MCMC,Malaki,Monkey,First Quarter,3,"Malaki, a truly inquisitive soul, is a bit more dignified than before, but that has not affected its whimsy. This monkey is constantly cracking clever jokes, in fact, it’s even funnier than before! Must be that growing monkey intelligence the world’s on about.",https://ipfs.tothemoon.net/ipfs/QmU4nEhh1QoTBxpjwaLeJrMhmBJFdWKhQK3b5xfRo6wpiH,Humor,Curiosity,,,,,
MCMD,Malaki,Monkey,Waxing Gibbous,4,"With a much more mature look, it may seem that Malaki has leaned more towards the ""wise"" part of ""wisecrack"" while forgetting about the rest, but that could not be farther from the truth. This monkey has held on tight to that infant-like wonder and continues to decorate the day with laughter.",https://ipfs.tothemoon.net/ipfs/bafkreib3frk5inqjame6t24niffrl5t32udl7i2ujsyc5ao7rn6ppgkkri,Humor,Curiosity,,,,,
MCE,Everett,Eagle,New Moon,1,"Everett can fly high or low, but it will not quit. This eagle knows how to play its best cards based on the hand it’s dealt.",https://ipfs.tothemoon.net/ipfs/QmZ9LsHLcSjjSoecm79Yvd32dBL6gvksRAqqeyLTjUdHLT,Ambition,Versatility,,,,,
MCEB,Everett,Eagle,Waxing Crescent,2,"Of course, everyone wants to fly like an eagle when it gives you the power to make the most of any situation at hand. Little do they know it's Everett’s adaptability and earnestness that grant it that.",https://ttm.mypinata.cloud/ipfs/QmVjFdJGTVKG6wf6YeE9so6KNdzWM4Pv9oGB1Ct5fGNDCA,Ambition,Versatility,,,,,
MCEC,Everett,Eagle,First Quarter,3,"With a much greater wing-span than before, this eagle’s ability to adjust has only strengthened. Along with its adaptability, Everett is a high-flier and would never aim low to mingle with the pigeons.",https://ipfs.tothemoon.net/ipfs/QmR9kMhDnSaXHVvS4oJasU1bAf55pNSQMRrXy7vGTbAN6p,Ambition,Versatility,,,,,
MCED,Everett,Eagle,Waxing Gibbous,4,"With eagle vision that's only sharpened, Everett is ready to lock eyes on the destination no matter how far or tough to reach. This creature is prepared to soar in any direction at a moment's notice.",https://ipfs.tothemoon.net/ipfs/bafkreich2bs46rmuiyvudvnx7f2pghfsvvxt2c3zeog2foccjgm5jkfaay,Ambition,Versatility,,,,,
MCR,Roz,Rabbit,New Moon,1,"This rabbit is quick on its feet. Roz is one mother fluffer who will knock your socks off with its spunk, then smooth it all over with undeniable charisma.",https://ipfs.tothemoon.net/ipfs/QmTzb7keqRdmuFyBuXrHcwjgmuBCC4UvNoJ4LnRgL5BK2W,Wit,Charm,,,,,
MCRB,Roz,Rabbit,Waxing Crescent,2,"A bit more devious (but in a good way), than before, Roz is the ultimate firecracker. Its sometimes sneaky manner comes from its developed smarts and is just part of that rabbit magnetism.",https://ttm.mypinata.cloud/ipfs/QmQW1k3CFKRYyyDrqcvw6yvnfHTmQh599vwrpQ5DcVEjF6,Wit,Charm,,,,,
MCRC,Roz,Rabbit,First Quarter,3,"With more pop in its hop, this rabbit is the clever, quick furball it always was. All eyes are on Roz when it walks into a room because people can’t help but notice its verve.",https://ipfs.tothemoon.net/ipfs/QmQtpAMZvfU2wknyJJcfESmxvB3VXSa4mq2KiUmabATAWW,Wit,Charm,,,,,
MCRD,Roz,Rabbit,Waxing Gibbous,4,"This zesty bunny is back and spicier than ever! Everybody loves a little (or a lot) of Roz. With its mental and physical agility, it's always go time for this rabbit.",https://ipfs.tothemoon.net/ipfs/bafkreibbim47f2pffewonj2bpvfspicydzssayxaqws4to4fatmrh424my,Wit,Charm,,,,,
MCL,Lennox,Lion,New Moon,1,"Lennox is a grounded, practical lion who always recognizes its blessings and reminds those around it to do the same. This creature is the voice of reason in the group and acts as an anchor for the Cryptonauts in space.",https://ipfs.tothemoon.net/ipfs/QmdV9RnLGf9PwsPpepVu5WP52ibmSPVKD31NE69h1qgWit,Gratitude,Logic,,,,,
MCLB,Lennox,Lion,Waxing Crescent,2,"This down to earth lion is still jotting away in its gratitude journal, counting its blessings. The oh-so pragmatic Lennox is certainly the more sensible of the creatures.",https://ttm.mypinata.cloud/ipfs/Qmddrjn3dvd2TfciFsJE6XECVAh78fnX7W8rrvuLYbn6ts,Gratitude,Logic,,,,,
MCLC,Lennox,Lion,First Quarter,3,"With an even steadier, more-grounded stance than before, Lennox thanks the universe it has reached yet another phase of its life! This lion’s bright mane matches its mind.",https://ipfs.tothemoon.net/ipfs/QmUGNbxvFde9N59VSWXZHVoPh7Pf6xEPou6HcnAmQokZXe,Gratitude,Logic,,,,,
MCLD,Lennox,Lion,Waxing Gibbous,4,"Not only has that vibrant mane grown, but so has Lennox's mindfulness. With the ability to let reason reign and remember all the blessings this stance has brought it, this lion is a solid, unstoppable force.",https://ipfs.tothemoon.net/ipfs/bafkreigchsd4rjbfsnu3nm5fyjnn6b6ugerxkao4u5qu6ppaoc7rwsa2x4,Gratitude,Logic,,,,,
MCCO,Cobie,Camel,New Moon,1,"Every day for Cobie is like a game of trust fall with the universe- and it wins every time. This camel knows it is being guided, and that conviction helps lead the way.",https://ipfs.tothemoon.net/ipfs/QmSUgL6i6HkbpnPB4KaS5RKNGgWmNiS5seuJNfs5LremSE,Intuition,Faith,,,,,
MCCOB,Cobie,Camel,Waxing Crescent,2,"Cobie has proven that even through the driest and widest of moon terrains, it will make it, thanks to its trust in the universe, who it is always working in cahoots with. This camel is in a constant state of cahoot-iverse.",https://ttm.mypinata.cloud/ipfs/QmQpb7AVcQfTR24F7MAtjmxXK8fCYJvSgGN7QfsNCd7VDu,Intuition,Faith,,,,,
MCCOC,Cobie,Camel,First Quarter,3,"Together with the universe, Cobie has managed to make it through the longest droughts the moon has ever seen. This camel has never doubted the path it's on because it knows if it practices complete acceptance, it’ll always lead to where it needs to be- and most of the time that happens to be near a generous supply of fresh water!",https://ipfs.tothemoon.net/ipfs/QmPtdikHoAhfoZx7oVPfSwmWb4YHsZP4or4ktu8mHnSK6Y,Intuition,Faith,,,,,
MCCOD,Cobie,Camel,Waxing Gibbous,4,"Ready for the long road ahead, Cobie has a come what may attitude that allows it to accept the current situation, whatever it is. It doesn't matter that fur covers this camel's eyes because the universe always leads the way.",https://ipfs.tothemoon.net/ipfs/bafkreibi4fv5hsefwkfn37czv3shufusb3lk4lisvajg6xmlkl34qny4za,Intuition,Faith,,,,,
MCMO,Morfyn,Moose,New Moon,1,Morfyn can always find the silver lining to a dark cloud. This moose is bright both in its outlook and smarts.,https://ipfs.tothemoon.net/ipfs/QmR8TEh3vhWMYtKexNP1yPmXTf3YjQi5iCSAbN4HAiY9te,Optimism,Clever,,,,,
MCMOB,Morfyn,Moose,Waxing Crescent,2,"Looking very regal these days, Morfyn has maintained its sunny outlook through countless dark nights. This is perhaps what makes it stand so tall. This moose is also extremely resourceful and astute.",https://ttm.mypinata.cloud/ipfs/Qmf2qDwuVxx9NxJLqGUB5X2U76ZV7Zfoxhz4prWTfMMAZS,Optimism,Clever,,,,,
MCMOC,Morfyn,Moose,First Quarter,3,"With currently the largest antlers on the moon, Morfyn is also one of the most assured of the creatures. This brilliant moose is certain that with the right mindset, one can get through anything.",https://ipfs.tothemoon.net/ipfs/Qmc14vVpebRG7KG2TzyzsgUxksE6Tw4wu9Awe6zJ1mLg4e,Optimism,Clever,,,,,
MCMOD,Morfyn,Moose,Waxing Gibbous,4,This ray of sunshine is smart enough to know that all will end well for those that believe it. Morfyn is a master at keeping the faith and standing even taller through tough times. This moose never lets worry get a hold of it.,https://ipfs.tothemoon.net/ipfs/bafkreih3ub3asls4xricdbvrx2y2ayktozdbtn2t7kvplhx7h7mrjyp6aq,Optimism,Clever,,,,,
MCBO,Boaz,Bovine,New Moon,1,"With an unlikely serene energy, Boaz is a true gentle giant. A bit of a shy bull, it searches for ways to help those in need.",https://ipfs.tothemoon.net/ipfs/QmW3DCEJ1ifprSAooojXbQaxkQtRNVXMsekxGxv4QLSioc,Humility,Calm,,,,,
MCBOB,Boaz,Bovine,Waxing Crescent,2,"Regardless of its less cute and more intimidating appearance, Boaz is still the kind-hearted, softie it always was. The only thing this bull will fiercely fight for is its friends.",https://ttm.mypinata.cloud/ipfs/QmZmCU7GuVCS7rjVQNqz1HrUPBy7qVpaRuKdfEE4Kku9WJ,Humility,Calm,,,,,
