prefix,name,description,moonPhase,image,attributes__gender,attributes__trait1,attributes__trait2,attributes__trait3,attributes__skill,attributes__aura,attributes__style
C001,Cryptonaut .001,"The first Cryptonaut to land on the moon. .001 is the pioneer of the Cryptonauts, with the reliability and drive to maintain his head honcho status.",New Moon,https://ipfs.tothemoon.net/ipfs/QmNYmBppbvGNi4tkxUsJ1igx5vojs9KCZCzRp8eartgq5L,Male,Leader,Determination,Responsibility,,,
C002,Cryptonaut .002,"This Cryptonaut is on a mission. Staking claim, .002 is not afraid to make a mark on the universe. His life goal is to leave a legacy behind.",New Moon,https://ipfs.tothemoon.net/ipfs/QmYiMV8QVGMYgkYMXDW1VnKDaLZbmDpDLbDva6exshK2h5,Male,Ambition,Responsibility,Charisma,,,
C003,Cryptonaut .003,"Building a better tomorrow takes vision, patience, and the courage to carry what matters most. .003 understands that true value is not measured by chance, but by what you choose to protect. This Cryptonaut knows the future is built from what others fail to see.",New Moon,https://ipfs.tothemoon.net/ipfs/QmR7KzQSvsnEqmfr2tLMqPCxDBr2njFcFwUNk2bgEfeeNT,Male,Skillful,Versatility,Respect,,,
C004,Cryptonaut .004,"Hard to overlook, impossible to ignore. With a spark of purpose and endless drive, .004 carries the charge that keeps progress moving. This Cryptonaut knows energy is more than power, it’s the force that turns vision into action.",New Moon,https://ipfs.tothemoon.net/ipfs/QmP1WDmdjV8YidaZghC5kZyRhEwWqo5JPZoXbJiEuKPJUk,Female,Wisdom,Optimsm,Calm,,,
C005,Cryptonaut .005,"Always willing to share oxygen with the other Cryptonauts, .005 is a warm Cryptonaut. She gives good, and gets better. It's clear the universe matches vibrations.",New Moon,https://ipfs.tothemoon.net/ipfs/QmXz8ASbwSXH3YQ1SeoeGFCobF713Zhc15oFpHFMwKPzHh,Female,Luck,Charisma,Generosity,,,
C006,Cryptonaut .006,The law of gravity has got this Cryptonaut's back. It must be because .006 is determined to make the best out of whatever is given to her. She eases through life flowing with the wind.,New Moon,https://ipfs.tothemoon.net/ipfs/Qmbrygq7Jp3GDBGDQTMNhP6wLWjmMini5QbLbDqWK9t911,Female,Ambition,Adaptability,Enthusiasm,,,
C007,Cryptonaut .007,A practical Cryptonaut who knows it's better to be safe than sorry. .007 is a major tech genius who is always willing to help others with their computer woes.,New Moon,https://ipfs.tothemoon.net/ipfs/QmUz6T7Jb7MPhhU72KWVzrXd8hbZPWdghQnQCKdks5psps,Male,Clever,Logic,Generosity,,,
C008,Cryptonaut .008,".008 is extremely resourceful. He takes only what he needs and ensures others are not wasteful (good thing he is funny, otherwise this could get annoying.) With a feeling of just the right amount of minerals to extract, this Cryptonaut has a sense of how much the universe is comfortable sharing with the Cryptonauts.",New Moon,https://ipfs.tothemoon.net/ipfs/QmVZVuWZH6kDUPHdZss7pY5tTgCPq4Wsua7DbPCvRnyBat,Male,Intuition,Efficiency,Wit,,,
C009,Cryptonaut .009,".009 can sometimes be in his own world, which is why many find him funny. However, little do they know, he has crafted a universe in his mind where only beauty and opportunity exit. Though he physically lives in reality, he is mentally in this idyllic place, making him one of the most positive Cryptonauts to walk the moon.",New Moon,https://ipfs.tothemoon.net/ipfs/QmWYRg76ijLU77Kyybayyb9Bc8Bdjh1biovynwxoq6ZVBC,Male,Optimism,Imagination,Humor,,,
C010,Cryptonaut .010,"This Cryptonaut is on a mission and will not stop till he gets there. .010 can go the distance, but will always figure out the quickest way to get there. Ready to adjust speed, breath, or direction, .010 is ready for whatever he may run into along the way.",New Moon,https://ipfs.tothemoon.net/ipfs/QmNYeCD3tRs3eMej945xB81Gigrm9kjAJ4VRHYp2kZcXbR,Male,Wisdom,Ambition,Versatility,,,
C011,Cryptonaut .011,"Catch this Cryptonaut at the market with coffee in hand, talking a mile a minute, chatting everyone's ear off. The only reason .011 gets away with it is because he's hilarious and clever.",New Moon,https://ipfs.tothemoon.net/ipfs/Qma7tYkPHKahWSj73DMMhxdLrCocXBqBjXPoRUhwEaanZP,Male,Wit,Sociable,Humor,,,
C012,Cryptonaut .012,"The most charitable Cryptonaut, always looking for ways to give. Whether it's making balloon animals for the moon babies or grooming the moon creatures, .012 is one altruistic Cryptonaut.",New Moon,https://ipfs.tothemoon.net/ipfs/QmRpEWR3BLQvFrb2drWZtCXpRGj3bR6Zm5x75X8M4XABp9,Female,Generosity,Kind,,,,
C013,Cryptonaut .013,"A cultured, free spirit. .013 lives the life of a true artist. Blessed with a unique vision and the skills to translate it to the canvas, this Cryptonaut is certainly the most open minded.",New Moon,https://ipfs.tothemoon.net/ipfs/QmbuDqEXnLqqgaTYEi8ZQvpFkYyhnifq4VAhHmB5CyWeoq,Male,Talent,Imagination,Charm,,,
C014,Cryptonaut .014,.014 knows just the right way to build those gains. He is a technique master with a flawless physique and wakes up early to maintain this. This control is applied to all areas of his life.,New Moon,https://ipfs.tothemoon.net/ipfs/QmZS8h72nZdfMNJbdnVUqAbfuL4k7b6Wd2vstbPv2neVg3,Male,Discipline,Determination,,,,
C015,Cryptonaut .015,"Most of this Cryptonaut's life happens in his dreams, which is why he would always rather be sleeping. The universe delivers messages to .015 in his slumber and he honours this by putting himself in the state to receive them.",New Moon,https://ipfs.tothemoon.net/ipfs/QmRXLET82yNNuRmE9kvxx66kFoPyQVDmaSS3CHWjB1Di9G,Male,Respect,Imagination,Calm,,,
C016,Cryptonaut .016,.016 has an affinity for all things natural. A socially responsible Cryptonaut who reminds others to practice conscientiousness and care when it comes to the environment.,New Moon,https://ipfs.tothemoon.net/ipfs/QmcsXjNoExJNPqTJAWYYraST5fo3Az3j9sKqAKnzCtHRLQ,Female,Kind,Humility,,,,
C017,Cryptonaut .017,"With extreme discipline, .017 has perfected the martial arts. He uses his talents with discretion as it is never for violence, but only to keep him in top shape both physically and mentally.",New Moon,https://ipfs.tothemoon.net/ipfs/QmUXvuFVpqQEx473xKDjxVFvoj4cMDhJS2QJq73pne9bp2,Male,Focus,Efficiency,,,,
C018,Cryptonaut .018,"The life of the party who knows how to dance to the rhythm of the universe. .018's laid back, fun-loving attitude is all part of his allure.",New Moon,https://ipfs.tothemoon.net/ipfs/QmfQ3UUG9bAuZcXCUA8zMwtooUVyenaRao6geEjmDwg7mV,Male,Sociable,Charm,,,,
