prefix,name,moonPhase,description,image,attributes__explore,attributes__research,attributes__community,attributes__trait1,attributes__trait2,attributes__trait3,attributes__trait4,attributes__trait5,attributes__trait6
CDNT,NEON x Tilden,Comet Drop 1,"What do you get when you add a born victor to a spirited, yet practical extraterrestrial who can't be tamed….an extraordinary duo ready to face any challenge head-on.",https://ipfs.tothemoon.net/ipfs/QmQ5cjsETtcPZMuMck9Eg7aQueHHywo6PrxeSSpfgB1Uo1,22,22,22,Extraterrestrial,Optimism,Determination,,,
CDOH,OPAL x Holden,Comet Drop 1,"Quick, with the ability to see beyond the present, this team keeps the faith, not only in the universe but in themselves. They always will come through. Just say jump and they'll fly high.",https://ipfs.tothemoon.net/ipfs/QmXqEzpLF8yiYR4wCRYU3sZtaM1txbVEWH8Dm2sPNqhFgs,22,22,22,Extraterrestrial,Reliability,Efficiency,,,
CDHP,HODL x Piper,Comet Drop 1,"Ying to one's yang. Half this team is all for a good time, but both know to have trust in the universe and the other half offers a calm in the knowing. It also helps both have the ability to feel what's right and what could be.",https://ipfs.tothemoon.net/ipfs/QmPXgLMVJCoNRhcP8zTz7Xy5vypCjW7YnRnKuBV8u4KDyT,22,22,22,Extraterrestrial,Intuition,Faith,,,
CDOK,ORBA x Keats,Comet Drop 1,"Belief in the self will work wonders, especially when your mind knows no limits. This team is ready for whatever and knows they will crush it.",https://ipfs.tothemoon.net/ipfs/QmWnMc5T4e3FnxXYQtnL1Jctuhs1kEz2K8mR5azoYvpUwb,22,22,22,Extraterrestrial,Adaptability,Imagination,,,
CDGS,GIN x Speers,Comet Drop 1,"You'd think these two trailblazers would butt heads, but instead their drive to be head of the pack makes them the most epic play-making pair ever. Add in their smarts and pure hearts and you've got a match like no other.",https://ipfs.tothemoon.net/ipfs/QmZ1N4xBj3iHkPZnqT8UrXKgXrcfkjkpM6jD733S7k2sV7,16,16,16,Knowledge,Leader,Logic,Reliability,Generosity,
CDRM,REV x Minerva,Comet Drop 1,"With double the waiting skills, this team will always be able to peg the right time and in this universe, that goes a long way, especially coupled with a can- do attitude!",https://ipfs.tothemoon.net/ipfs/QmQwTk9kTnM7c6Y6AcUgg5rqe2TVR4tcQnifLZt4CZocnZ,16,16,16,Patience,Intuition,Conscientiousness,Enthusiasm,Charm,Talent
CDJL,JAX x Lennox,Comet Drop 1,"Smarts and practicality mean so much more when combined with ease and a deep knowing that all is happening for you, not to you. That's what makes this team so remarkable.",https://ipfs.tothemoon.net/ipfs/QmRNfuXTyKmFbRQMeyPnJAZPxwSXMKQBwmS2kwaqwyTavd,16,16,16,Gratitude,Luck,Clever,Charisma,Calm,Logic
CDPD,PXL x Daxton,Comet Drop 1,"Fearlessness to Infinity! With a sense of wonder and quickness these two could take over the moon if they wanted to. Good thing they don't, they just want to explore every bit of it.",https://ipfs.tothemoon.net/ipfs/QmVEtZVhQUQL1R7vhnrrqaBYfthDxdvhrwJP8Z46u4eWoF,16,16,16,Courage,Faith,Adaptability,Humor,Curiosity,Luck
CDBR,Boaz x Roz,Comet Drop 1,Balance is everything. This team is a mix of a firecracker and slow-burning candle as they approach every situation with a gentle charisma.,https://ipfs.tothemoon.net/ipfs/QmV1VfsAhwRrTRRFE7cKQSTb3p9cY6URy3jjrzPxuB3KQg,10,10,10,Humility,Calm,Wit,Charm,,
CDDF,Drucie x Fender,Comet Drop 1,"Of course they'll be sure of themselves, they have some serious smarts and jokes on their side. This team's creativity and quickness are not to be underestimated.",https://ipfs.tothemoon.net/ipfs/QmNgK45MpaMRkfq1YomMmbMD5bHr5hePYH14THLJzQGqi4,10,10,10,Confidence,Imagination,Humor,Wit,,
CDDZ,Django x Zandra,Comet Drop 1,"With a unique approach and peppy energy, this team offers an authentic, one-of- a-kind perspective that can't be mimicked.",https://ipfs.tothemoon.net/ipfs/QmcKPfzsFyKPHYh31a9ZuWmbQsWjabBUkDiDhdkYzZuyKh,10,10,10,Clever,Imagination,Conscientiousness,Enthusiasm,,
CDFW,Fortuna x Wai,Comet Drop 1,This duo is as practical and down-to-earth as anyone on the moon can be. Their mix of knowledge and compassion makes them an unforgettable combo that can accomplish anything.,https://ipfs.tothemoon.net/ipfs/QmYeAVE44j2twKv1Qyshp3KJj5dvLf17miD88bbmiYRHSX,10,10,10,Respect,Humility,Wisdom,Skillful,,
CDBC,BLOK x Chalkly,Comet Drop 2,What do you get when you mix a chicken who won’t quit and a baby ready to build the most unlikely vision into a reality? This epic team. There’s no stopping these two with their one of a kind skill set.,https://ipfs.tothemoon.net/ipfs/QmbPjr66LKvCq4bnZsxHVBVnr6SiG3RXf34TYoKQyHPSv3,22,22,22,Extraterrestrial,,,,,
CDCO,COMI x Ova,Comet Drop 2,"Good luck catching up with this duo. With great intelligence and conviction, this octa-baby team is always focused on what’s to come, while keeping strong ties to the present.",https://ipfs.tothemoon.net/ipfs/QmdYmGz4E8ksfpgT1hYFbL2NttzSu4nD1UrtXhfjchCyWU,22,22,22,Extraterrestrial,,,,,
CDFJ,FOMO x Jupiter,Comet Drop 2,"This team comes with a knack for giving the most sincere, admiration-filled compliments. Always making connections, spreading kindness and taking advantage of every golden opportunity, FOMO and Jupiter are ready to forge down the unknown path",https://ipfs.tothemoon.net/ipfs/QmNvenjq9vRq9XYQVQ9zUPBHfV2zPcUvxh9KhixJcw16xY,22,22,22,Extraterrestrial,,,,,
CDHE,HOLD x Everett,Comet Drop 2,"Sometimes, patience is the only way through, and other times its determination and agility needed to break beyond. These flying friends know when to use what in order to achieve the greatest outcome possible.",https://ipfs.tothemoon.net/ipfs/QmecUhWg6xgb8QETLfFKBGH8NCA1qf7LKZ6En6NmYNgYGz,22,22,22,Extraterrestrial,,,,,
CDNB,NEOM x Bromley,Comet Drop 2,"Everyone needs a bit of chaos and humor every now and then, especially when the jokes are humbling and keep the gang grounded. This bear-baby team is just as pragmatic as they are outlandish.",https://ipfs.tothemoon.net/ipfs/QmaTUTsChhQK72XjPpkMvak9aCqE2iXPKdBf1H1t71mHzi,22,22,22,Extraterrestrial,,,,,
CDOD,OPLA x Dalton,Comet Drop 2,"This team is sure about their powers and does not give a quack about those that doubt them. Able to see the future and all that leads up to it, this duo is always happy to help a friend in need.",https://ipfs.tothemoon.net/ipfs/QmakqWYhcFAKwprYyTz4c8DRqgZpLYikQYXA8U6v3EpLLq,22,22,22,Extraterrestrial,,,,,
CDOS,ORBT x Speed,Comet Drop 2,"Always looking for the fastest and most effective way to get the job done, this team can accomplish anything with the help of a little magic. This unlikely pair can perform some serious miracles at super sonic sloth speed.",https://ipfs.tothemoon.net/ipfs/QmNxPRuhMsr1GK7LN16KhNxrG4JiNVRa4vs2YCk5BdCThk,22,22,22,Extraterrestrial,,,,,
CDZB,ZENA x Brynly,Comet Drop 2,"With a refusal to quit or take life at face value, this badger-baby duo lets the going get tough so that they can get going. This pair can dig themselves out of any tricky situation!",https://ipfs.tothemoon.net/ipfs/QmToCv79KJjUMns1Y556NjneGDcMhhNx4Y33bd7JZ61xP7,22,22,22,Extraterrestrial,,,,,
CDAL,AXL x Ludvik,Comet Drop 2,This conscientious pair have the gift of creativity. They are intelligent enough to know and composed enough to wait for the right time to share their bright ideas with the rest of the group.,https://ipfs.tothemoon.net/ipfs/Qma7qcn6Qc3z4xGWDehjYjq8keLWVZwRafmrTGDKH87qDP,16,16,16,Patience,Wisdom,Imagination,Wit,Humility,Generosity
CDDS,DEV x Sirius,Comet Drop 2,"When determination and bravery collide, you get Dev and Sirius. This duo uses intelligence and charm to win anyone over and without a blink, keeps their eyes on the prize.",https://ipfs.tothemoon.net/ipfs/QmZtSH6ZAHkCHpDH2cDdH8z7PgaC8nGgMKwbzDM3rXECfc,16,16,16,Courage,Logic,Discipline,Alert,Charisma,Focus
CDIC,IZI x Chantz,Comet Drop 2,"With the ability to wow the group, this duo is grateful for the attention they get and influence they have. This is why they use it for good and to encourage kindness and the spirit of giving to all around them.",https://ipfs.tothemoon.net/ipfs/QmVUeejUmdUB6VZ254SEvgEfXxwem2v8YJvsTRyfE4ZmTF,16,16,16,Gratitude ,Luck,Efficiency,Charisma,Generosity,Charm
CDKW,KYE x Wynter,Comet Drop 2,"Whether the flow means a torrential downpour or a droplet, this skilled pair is ready to go with it. Need a quick change in gears? No problem. They are prepared for whatever life throws at them and in the case of nothing, they are happy to wait.",https://ipfs.tothemoon.net/ipfs/Qmeeobd5A9NdSBFb46ZuW4S3z6S737mUsjaHBa5VMJeW2B,16,16,16,Patience,Talent,Ambition,Versatility,Respect,Alert
CDLW,LIN x Wila,Comet Drop 2,"These savvy girls know that in order to succeed, you have to put the work in, as well as be grateful for what the universe already allowed you to accomplish. No wonder the gang loves this duo.",https://ipfs.tothemoon.net/ipfs/QmesssHwNSS1cQU39xacpcPuD5GgG1GFLio4wPbwtfjSuS,16,16,16,Gratitude,Skillful,Faith,Clever,Sociable,Discipline
CDRG,RAX x Gideon,Comet Drop 2,"Together, these two can rule the universe. With their need to take initiative and move the group forward, they know persistence with the ability to listen to life’s messages are the way to go.",https://ipfs.tothemoon.net/ipfs/QmfAguvNvK8CzPMZzQAvV2wJbpvDzxoGWHbgmgsdVP1HRV,16,16,16,Knowledge,Leader,Determination,Adaptability,Charm,Intuition
CDWO,WUN x Orson,Comet Drop 2,"Observant and sharp, nothing slips by these two. And if you try, the jokes on you! Astuteness aside, these two have everyone in stitches with their clever remarks.",https://ipfs.tothemoon.net/ipfs/QmbHv6SEdJrFxNcqkLQbwzFxdU4faA5qVkDex1Cfvsq4dV,16,16,16,Knowledge,Logic,Versatility,Alert,Humor,Adaptability
CDZP,ZEN x Pezi,Comet Drop 2,"With great levels of intelligence and certainty, veiled by an air of tranquility, this duo is a secret weapon. It’s easy to look past the quiet ones, which is what makes this pair so powerful.",https://ipfs.tothemoon.net/ipfs/QmUy241PH3K4YX4fCf23FGhKJHrLeKGo7vZBk8AsdThvXk,16,16,16,Courage,Leader,Discipline,Confidence,Calm,Logic
CDCF,Cobie x Fisk,Comet Drop 2,"This team knows how to feel their way through any tough situation and do so while staying cool and collected. Their inner guiding light leads them to other bright connections, while their charm locks them in.",https://ipfs.tothemoon.net/ipfs/Qmf7RyzU7nqoPmzwHvai1d88N145NeSx5R4ZGQzeSjDmND,10,10,10,Intuition,Faith,Sociable,Calm,,
CDHD,Hector x Dart,Comet Drop 2,"This duo is driven, to the point and thrilled to be here. Hector and Dart have their sights set on attaining the greater good for all those involved.",https://ipfs.tothemoon.net/ipfs/QmQqvvJ7fLPtzpENyMQhTtyNMHPtwVCwbwoySKmyd51V98,10,10,10,Talent,Focus,Conscientiousness,Enthusiasm,,
CDER,Emyra x Ridley,Comet Drop 2,"The sensibility of these two are what bonds them together. Fortunately, there is a splash of positivity and the ability to dream big which steady the scales.",https://ipfs.tothemoon.net/ipfs/QmbbJmv6WFsCRybsyPfUTaRdtv4u2mmwAFBEsGk9JKamFW,10,10,10,Optimism,Responsibility,Ambition,,,
