prefix,name,description,moonPhase,image,attributes__gender,attributes__trait1,attributes__order,attributes__balance,attributes__chaos,attributes__aura,attributes__spirit
MBH,HODL,"Prankster, always ready for a good time. HODL knows what goes down must come up in outer space, so she holds on for the long haul. She'll always come out on top, gold chains and all.",New Moon,https://ipfs.tothemoon.net/ipfs/QmdczqqExf6vH6Rk7vfk3qqJqX7sTMLNZxqkAWaqQ96MD8,Female,Extraterrestrial,,,,,
MBN,NEON,"NEON may seem a little unpredictable, or even radioactive at first, but that's just his dynamic, spirited-self, shining through. What lies beneath is the perfect balance of pragmatic idealism, which gets him through any storm.",New Moon,https://ipfs.tothemoon.net/ipfs/QmY9cFyFe8fKJ1yXXLWc9hg3EWHgoZmWDA2cvrsG9QZnYH,Male,Extraterrestrial,,,,,
MBO,OPAL,"The opal stone may confirm his predictions, but OPAL knows the future long before, thanks to the power of insight. OPAL reminds everyone that the circle of fortune responds well to unwavering faith, as lady luck inevitably makes her return to the top.",New Moon,https://ipfs.tothemoon.net/ipfs/QmYEkbar6qW4h4BPBTw2jmWrVEp9Whm4kQZtEoi6XV2JFr,Male,Extraterrestrial,,,,,
MBOR,ORBA,Suffering from a petty mortal problem? Call the great and powerful ORBA to make it all go away. This extra-terrestrial is sitting pretty on the throne for a reason- confidence is queen.,New Moon,https://ipfs.tothemoon.net/ipfs/QmbpaxGQgcLdpL4UDLKr6GLLMr4D93ssAxx97yfSFYSE5Y,Female,Extraterrestrial,,,,,
MBHL,HOLD,"As a wise baby once said, “This bear shall pass.” And that baby was HOLD. Just because he is the king of waiting (and it’s clearly paid off- check out those chains), doesn’t mean he doesn’t know how to have fun or look good while doing so. Get ready for a wild time.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmNoQSAXHvaUQbMrRYrGLk4p6uiQZMsuBY2SncAhxNREf1,Male,Extraterrestrial,,,,,
MBNM,NEOM,"Ever heard of hurricane NEOM? Her frantic energy keeps her high-up in space, but luckily, a sense of pragmatism inherited from an earlier generation anchors her to the moon’s surface when needed, creating true harmony. Hey, every hurricane has its eye.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmQFCyzdUF28gbMcuCzLeGpUfQiXMFPFFKUdzUsRiYwA9B,Female,Extraterrestrial,,,,,
MBOA,OPLA,"Just a spunky gal with a crystal ball. Of course, OPLA can tell the future through her trusty stone, but she has the ability to understand how it all plays out beforehand. I mean, what good is a snapshot of the future without its back story, and a spirited medium who is eager to help reach the best possible outcome?",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmYGqqPngqwAryZWgZD9pdVV6qTgzJohscpGK8atWVCpRE,Female,Extraterrestrial,,,,,
MBORT,ORBT,"Don’t believe in magic? Then you haven’t met ORBT. With an infectious smile and “come at me attitude” that somehow work very well together, this baby will make any problem disappear into the vacuum that is space- all from the comfort of his throne.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmVMnp8qdQNv47ZXtbP6to29qzbvpuqVqDwZnUjPGWoDr1,Male,Extraterrestrial,,,,,
MBB,BLOK,"This moon baby's got all the essentials for building his way to the top and we're not just talking about legos. With the vision of how contrasting parts fit and work together, BLOK uses both his analytical and creative skills to achieve greatness.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmXQLYXDXj6ViG2L2Uuhdvttga3hv4ob1AsDD2uJGTgeKR,Male,Extraterrestrial,,,,,
MBC,COMI,"Never looking down or back, COMI is always ready for what's in front of her. You may think because of the serious wind under her board she lacks grounding, but COMI is the most cognizant and present moon baby there is. Not to mention she is also the fastest, but that's just a plus.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmXqZnK1wsCbDDj4nVGmzEMMngYe6p6nxemqz85goytoAo,Female,Extraterrestrial,,,,,
MBFO,FOMO,"His name may imply a worry of letting the rocket ship pass, but that's never the case as FOMO makes the most of every momentous chance he can get (no need to mention the Moon Device in hand…) This opportunist exudes bravery when embarking on a new path and never decides out of fear.",First Quarter,https://ipfs.tothemoon.net/ipfs/Qmaq9iNvkSScvF9Nvw9jrLLprbkEZ42BhghxFmHNHeZjdz,Male,Extraterrestrial,,,,,
MBZ,ZENA,"Perception is everything on the moon as things are never as they seem. With the innate ability to look at a situation from an a-typical angle, ZENA's uber cool space speks offer her even more insight to unforeseeable situations. This is one wise moon baby with an unconventional approach.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmS35yc2qgQYFMYH27GnsRhR7DFvDLBTYor2x9uZagguFp,Female,Extraterrestrial,,,,,
