prefix,name,new name,description,supply,attributes__category,image
IWJ,Water Jug,,"With additional hidden compartments, this small but mighty container can hold a lot more than you'd think. It is compact enough to keep the water's temperature optimal for consumption by plants, creatures and Cryptonauts alike.",10000,Water,https://ttm.mypinata.cloud/ipfs/QmTBu5fTJgZ71bY4S9SN6APfsjpmhrC6Wx9SZieSvQEzLt
IMSB,Moon Strawberry,,"Covered in pinks and yellows, this moon berry decorates the bushes near the bare trees. Cryptonauts find them just as tasty as they look.",4500,Food,https://ttm.mypinata.cloud/ipfs/QmZJXVCNKgp3CVFyTDavui9J5Xy9WMEWQnXb89XeNhbzq6
IMRB,Moon Raspberry,,An aquamarine berry that grows on the bushes by the craters. The name “Nature's Candy” does not do this extremely sweet fruit justice.,4400,Food,https://ttm.mypinata.cloud/ipfs/QmYkoe6xctHqD1JdZp9JgxYfd6Dw4rHav34ePtaSgCnTg1
IMP,Moon Pear,,"This pear may not be as bright as its fruity counterparts; however, it is nutrient dense and offers essential vitamins. It can be found on the Spreading tree forms of the moon.",4300,Food,https://ttm.mypinata.cloud/ipfs/QmSSHr2qyMKK2WarC5KzWrPxQvsMkr8kpBeim738veHsqs
IMA,Moon Apple,,"Found on the lush Pyramidal tree forms of the moon, the Moon Apple is a vibrant fruit that offers a quick boost of energy. If what they say about an apple being more effective than a cup of coffee is true, then the Moon Apple is more effective than three.",4200,Food,https://ttm.mypinata.cloud/ipfs/Qma4VAdfiYhyPuN5qKfWaqTypTFF9k9uCJKBswhJnfLT7e
IPPMF,Purple Moon Fish,,"The purple moon fish found in lakes has green fins and spots. These tiny accents provide a saltier taste, regardless of the usual sweetness of lake fish.",4100,Food,https://ttm.mypinata.cloud/ipfs/Qmedho67Jcxa3s27bKiuLfuk2u8MK1YyH4N4E2KnrwYDEP
IPKMF,Pink Moon Fish,,"The Pink Moon Fish, also found in lakes, is the highest source of Energy. It is much sweeter than the purple, due to its yellow fins and neon trimmings.",4000,Food,https://ttm.mypinata.cloud/ipfs/QmNkpuQ5gLeQnEPCMDhMeRjqKt3s5K1xVPwyjmtgFPvdus
ISMB,Special Moon Berry,,This berry can be spotted near the outer edges of the lakes and is specifically for the Moon Creatures. They favor the bitterness of the yellow seeds in this magical fruit.,5000,Special Food,https://ttm.mypinata.cloud/ipfs/QmPFpGX6m6b5b4eXtEvrXtUnJmTm3aRP6xPaiVqcQZePnQ
ISMF,Special Moon Fish,,"A sweet and salty fish, only found in rivers. River fish is for Moon Creatures in particular, as they enjoy the unusual, acquired taste of it.",4000,Special Food,https://ttm.mypinata.cloud/ipfs/QmW6ireQHMUkkHuwXpkPLG5moJJ2tz9E7Xpq4ejh8CKFqN
ISMP,Special Moon Plant,,"Flowering up the walls of the caves, the Special Moon Plant is for the Moon Creatures and offers them the highest source of Special Energy. The plant is so vibrant and beautiful that it is no surprise it holds poisonous qualities, but not for the Moon Creatures. They have a unique digestive system that can kill any harmful ingredients and convert it to Special Energy.",2500,Special Food,https://ttm.mypinata.cloud/ipfs/QmTpNYtFmG7SAXK18ukbA9ehM48sB3H8y36CKiE8cZ1gHG
IMSS,Moon Strawberry Seed,,This heart-shaped kernel has the potential to grow a plant that will produce up to five quarts of Moon Strawberries a season. Pretty impressive for the moon's smallest seed.,2000,Moon Seed,https://ttm.mypinata.cloud/ipfs/QmcAddVCfJRpTBr2kSdtjrHW6eXG31UKVWkNwjpeuzixAN
IMRS,Moon Raspberry Seed,,"With a watermelon-like appearance, the Moon Raspberry Seed produces the moon's sweetest fruit. The seeds themselves can be enjoyed, but it is only for those with a serious sweet tooth. Wow, a seed sweeter than candy…only on the moon!",1800,Moon Seed,https://ttm.mypinata.cloud/ipfs/QmaEnYhCcyJVU1WxZgVVKSNMBbviLFGs99xnP7jtth2WTD
IMPS,Moon Pear Seed,,"This seed may produce the most nutrient-dense fruit in the universe; however, the seed itself is poisonous and extremely harmful to all living things. This is why this pretty little thing must be handled with caution.",1700,Moon Seed,https://ttm.mypinata.cloud/ipfs/QmZrf772FKkUMaoAhmgQA8jrWuhPvVyAPtDsFcHiTZiQdR
IMAS,Moon Apple Seed,,"It's hard to tell that this tiny seed will eventually grow into a stunning Pyramidal tree. The bright red shell hides its potential, but eventually, its stunning blue soul sprouts through and flourishes.",1600,Moon Seed,https://ttm.mypinata.cloud/ipfs/QmSodoVoddT4T7ELYyDHUVK68EfeAELibqdS4ye27LVMfQ
ISMBS,Special Moon Berry Seed,,"Looking like a rare gem, the Special Moon Berry Seed offers the pungent taste of a typical berry and a smell like no other. Its distinct odour can only be tamed with salt.",4000,Special Moon Seed,https://ttm.mypinata.cloud/ipfs/QmdyZgQe2xYH2V3V8DEkar79VoWfnycdyh7akooRqqkF5o
ISMPS,Special Moon Plant Seed,,"This is not like any other seed. This seed brings its planter good luck. Legend has it that the universe rewards those who take care of the ecosystem and since this plant offers the most nourishment to the creatures, the planter reaps what they sow in more ways than one.",2000,Special Moon Seed,https://ttm.mypinata.cloud/ipfs/QmQ1CDkEeaocHwGXC31reBq9foRLseNhSjJuRX6vBhaKKf
IFR,Fishing Rod,,Top of the line rod with an easy to use hook for bait. Get ready to reel in the biggest and finest catches!,5000,Utility,https://ttm.mypinata.cloud/ipfs/QmczRQd2PRJ8oTY88Pw9Z34Zyixpui4BkDm6vWFkgJQ9JU
IWC,Water Can,,"Offering water to the Moon and Special Moon Seeds in the Greenhouses, this can holds a lot more than it would seem. Made with a special absorbent material found on the moon's surface, this can is able to hold double its storage area, without affecting the water's quality and cleanliness.",3000,Utility,https://ttm.mypinata.cloud/ipfs/QmXuZq1EsSydGLFGbeFF7geSYVWQpQKbyFdocUqJnkrJxt
IS,Shovel,,"Designed with a nose of two meeting 45-degree angles, this shovel will skilfully pick up the remains of the pick's job. Get ready to dig deep with this handy tool.",3000,Utility,https://ttm.mypinata.cloud/ipfs/QmWhAzCdgiDEha9T65qkuqHF9x3FKCroTGhAV3rHAbhZbX
IMPK,Mining Pick,,"Sharper than a great white's teeth, this pick can puncture through any type of rock or surface on the moon.",2500,Utility,https://ttm.mypinata.cloud/ipfs/QmcCTCHuPi7gfEPoA1TZNZn1UoBLxGhJrCfgwSUwsYwn3S
IA,Axe,,"This rare tool allows for the clearing of forest space on Moon Plots to make way for Moon Infrastructures. This hatchet is state-of-the-art and is able to chop down any tree, no matter its density.",2000,Utility,https://ttm.mypinata.cloud/ipfs/QmcCwXZZXXJFFBYsZtdVU9ncFwjGt92TexGFjFjtzJ8po9
IPOT,Portable Oxygen Tank,,"The Portable Oxygen Tank helps Cryptonauts to travel across to the Dark Side of the Moon, regardless of atmospheric conditions. This tiny capsule holds volumes of compressed gas and will last for hours as Cryptonauts make the most of their time there. The use of space aluminium as its main material makes it lightweight and portable for those longer journeys.",1000,Utility,https://ttm.mypinata.cloud/ipfs/Qmepse7cBcr2vYnyk1pMezA2UQKQPrA2QZZnxJCsoNtNnH
IOT,Oxygen Tank,,"This tank is designed to help Cryptonauts learn to increase their natural oxygen levels, so that they are ready to make the venture to the other side of the moon. Its purpose is for use within the Oxygen Centres.",1500,Storage,https://ttm.mypinata.cloud/ipfs/QmfTdmbZ2uP4NH1312D7e4YdRbFKFBcptnLi6gBUsReLFg
