prefix,name,description,moonPhase,image,attributes__gender,attributes__trait1,attributes__trait2,attributes__trait3,attributes__trait4,attributes__trait5,attributes__infrastructures,attributes__resources,attributes__overwatch,attributes__aura,attributes__spirit
MTG,GIN,A true teacher at heart. GIN is the trailblazer whose bravery is anchored to his sound judgment and kindness.,New Moon,https://ipfs.tothemoon.net/ipfs/QmSUNEcmuvg1KPKU6BBxmYSFGveRCMvZVPL61ktMHy549U,Male,Knowledge,Leader,Logic,Reliability,Generosity,,,,,
MTJ,JAX,The entire universe is working in his favour and he knows it. His good things will come attitude makes JAX a man of ease and composure in any situation.,New Moon,https://ipfs.tothemoon.net/ipfs/QmWsuSpd1pvpMR16Z6QA9PtP9NrbU4P57KJmNwcr2mN7yf,Male,Gratitude,Luck,Clever,Charisma,Calm,,,,,
MTP,PXL,"It's easy to go with the flow and maintain child-like wonder with an unwavering belief like PXL's. Of course, a playful, can-do attitude is part of this package, but her most striking trait is her insurmountable fearlessness.",New Moon,https://ipfs.tothemoon.net/ipfs/QmXeKsFWdfaiUxkjzCaPyAPF8ti4fCt8DDLS7gzjPmrixE,Female,Courage,Faith,Adaptability,Humor,Curiosity,,,,,
MTR,REV,Good things come to those who wait and REV feels this deep in her bones. Her charisma and nobleness make her a magnet to those around her.,New Moon,https://ipfs.tothemoon.net/ipfs/Qmah6ecbux2TMtWCiUGy38WF4Q6hKbpBwnfUcrFAuPjkTu,Female,Patience,Intuition,Conscientousness,Enthusiasm,Charm,,,,,
MTA,AXL,"There is a time to wait, and a time to create, and AXL always knows what’s the time for what. His kindness and humor make him a valued member of the Moon Trainer team as he always keeps the gang in good spirits.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmTjaz43t13PGFFWThp8vPXBJwd9Z3uwJz6yUKyC7tJNKH,Male,Patience,Wisdom,Imagination,Wit,Humility,,,,,
MTD,DEV,"Never afraid to grab the bull by the horns, DEV and his wild hair will charm his way into your heart. A smart guy who doesn’t only depend on that, but is also determined and ready for whatever.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmQc2pXEAkT7HKHGF36b1JRLJQGdXeP2hLJwVoSCSxyQ2k,Male,Courage,Logic,Discipline,Alert,Charisma,,,,,
MTL,LIN,"LIN knows that where the attention goes, energy flows. That’s why she is always counting her blessings, then watching them multiply. A talented trainer with natural technique, LIN is one smart moon cookie.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmWc11xgsY4xvAX2nBMk9wmZ9qUDnQ7dMZVg4NEMYR5AMW,Female,Gratitude,Skillful,Faith,Clever,Sociable,,,,,
MTRA,RAX,"With a strong presence, RAX is not afraid to take charge when needed. She is the group's go-to with her agile, practical approach to life and can-do attitude.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmVcmzcjbwyi9Z334YSPk1m4qNcg2AVrcN5FK1cG7ZM7mW,Female,Knowledge,Leader,Determination,Adaptability,Charm,,,,,
MTI,IZI,"IZI definitely gives more than she gets, but that doesn’t mean she’s ever at a loss- it’s just literally impossible to match her kindness. The universe sees this and acts accordingly as it constantly sends delightful surprises her way.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmTARgbgMYtq6qtMfcr6PFC1cbpK9yPmjPC9ACn9LewGWc,Female,Gratitude,Luck,Efficiency,Charisma,Generosity,,,,,
MTKY,KYE,"KYE will still be waiting, long after the last grain falls through the hourglass. With incredible persistence, this trainer doesn’t know how to throw in the towel. The going is never tough enough for her.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmVhaBaki65CEZ658m3dtj9RrkJwUcrZCyHABEpNKNhkh3,Female,Patience,Talent,Ambition,Versatility,Respect,,,,,
MTW,WUN,"When it comes to WUN, four eyes means just that- four eyes. This trainer carries the ability to spot and adapt to all happenings. Aside from his intellectual appearance, WUN is also a true jokester underneath.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmXmjA2tCBkjDpFpg6iaJVoemmcVxakEShg8xCmYT2Xjop,Male,Knowledge,Logic,Versatility,Alert,Humor,,,,,
MTZE,ZEN,"Running water. ZEN is the peaceful force that relieves those around him and creates a state of complete serenity. At the same time, he is able to break through the dam blocking the forward motion of the group. On earth and space, not much can compete with the strength of water.",First Quarter,https://ipfs.tothemoon.net/ipfs/QmNUubVt9BsWcm4s9PiRoouC7mLd8yZxHHLCCNZ2DnrqLH,Male,Courage,Leader,Discipline,Confidence,Calm,,,,,
MTK,KEY,"KEY's brain is in overdrive all the time, but never burns out! There's always a light on at home with this trainer. Just try to keep up with his banter. He won't stop till he has learned all there is to know about this universe!",Waxing Gibbous,https://ipfs.tothemoon.net/ipfs/bafkreibqcae5jdbdbaoken63fpj5rf4z3mq2sddvem4qanidicfdgh4zgi,Male,Knowledge,Wisdom,Ambition,Wit,Curiosity,,,,,
MTU,UZI,"Confident and ready to run the day, UZI is a smooth talker who likes to win. He knows that with a sunny outlook and suave way, nothing is impossible. Look out!",Waxing Gibbous,https://ipfs.tothemoon.net/ipfs/bafkreici56plkhr77n3gf6oys4m2h65dekosobbcdal6vaxhztatbtreoi,Male,Courage,Talent,Optimism,Charm,Charisma,,,,,
MTWY,WYN,"WYN's in no rush to blaze the trail. She knows what's truly hers for the taking will be there when she arrives- all in good time. Besides, racing from place to place leaves no time for laughter and that's something she can't go without.",Waxing Gibbous,https://ipfs.tothemoon.net/ipfs/bafkreibebcxxawffmmxzsgkdmawqlzmnp2qrxxwnx7gfjhek4cqyoywc2y,Female,Patience,Leader,Versatility,Humor,Kind,,,,,
