type,location,moonCycle,origin,artist,attributes__category,description,prefix,no,no (new),name,moonPhase,image,attributes__gender,attributes__explore,attributes__research,attributes__community,attributes__trait1,attributes__trait2,attributes__trait3,attributes__trait4,attributes__trait5,attributes__trait6
Character,Moon,1,Comet,GIN,Moon Duo,"What do you get when you add a born victor to a spirited, yet practical extraterrestrial who can't be tamed….an extraordinary duo ready to face any challenge head-on.",CDNT,1,,NEON x Tilden,Comet Drop 1,https://ipfs.tothemoon.net/ipfs/QmQ5cjsETtcPZMuMck9Eg7aQueHHywo6PrxeSSpfgB1Uo1,Male Male,22,22,22,Extraterrestrial,Optimism,Determination,,,
Character,Moon,1,Comet,GIN,Moon Duo,"What do you get when you add a born victor to a spirited, yet practical extraterrestrial who can't be tamed….an extraordinary duo ready to face any challenge head-on.",CDNT,2,,NEON x Tilden,Comet Drop 1,https://ipfs.tothemoon.net/ipfs/Qma1ZGDEyFwQTCoX6TRkmq8ww2hFXLVSmYkjWYHu4NRrv6,Male Male,22,22,22,Extraterrestrial,Optimism,Determination,,,
Character,Moon,1,Comet,GIN,Moon Duo,"What do you get when you add a born victor to a spirited, yet practical extraterrestrial who can't be tamed….an extraordinary duo ready to face any challenge head-on.",CDNT,3,,NEON x Tilden,Comet Drop 1,https://ipfs.tothemoon.net/ipfs/QmY7nngEaQzT4gUHDYXCbvxchHxeSNdQmuwRFQUNQX1RNw,Male Male,22,22,22,Extraterrestrial,Optimism,Determination,,,
Character,Moon,1,Comet,GIN,Moon Duo,"What do you get when you add a born victor to a spirited, yet practical extraterrestrial who can't be tamed….an extraordinary duo ready to face any challenge head-on.",CDNT,4,,NEON x Tilden,Comet Drop 1,https://ipfs.tothemoon.net/ipfs/QmXyHV94auJBhcFqEZ6z1u3fqzfEqvbnfxS3iamHdWb8RE,Male Male,22,22,22,Extraterrestrial,Optimism,Determination,,,
Character,Moon,1,Comet,GIN,Moon Duo,"What do you get when you add a born victor to a spirited, yet practical extraterrestrial who can't be tamed….an extraordinary duo ready to face any challenge head-on.",CDNT,5,,NEON x Tilden,Comet Drop 1,https://ipfs.tothemoon.net/ipfs/QmcaKHxRTdWWG4R5RzkZq6SP1JBmTdBkCUHJpXMQeyUYwE,Male Male,22,22,22,Extraterrestrial,Optimism,Determination,,,
Character,Moon,1,Comet,GIN,Moon Duo,"What do you get when you add a born victor to a spirited, yet practical extraterrestrial who can't be tamed….an extraordinary duo ready to face any challenge head-on.",CDNT,6,,NEON x Tilden,Comet Drop 1,https://ipfs.tothemoon.net/ipfs/QmWfN2X7acxRngzzCBtk5eUnh4Dh5N556GWroFMaHY6Cjk,Male Male,22,22,22,Extraterrestrial,Optimism,Determination,,,
Character,Moon,1,Comet,GIN,Moon Duo,"What do you get when you add a born victor to a spirited, yet practical extraterrestrial who can't be tamed….an extraordinary duo ready to face any challenge head-on.",CDNT,7,,NEON x Tilden,Comet Drop 1,https://ipfs.tothemoon.net/ipfs/QmVEpjSE2WZCv2HVPvEkivkh7YTNhWTn3pnaNygxsXgr2w,Male Male,22,22,22,Extraterrestrial,Optimism,Determination,,,
Character,Moon,1,Comet,GIN,Moon Duo,"What do you get when you add a born victor to a spirited, yet practical extraterrestrial who can't be tamed….an extraordinary duo ready to face any challenge head-on.",CDNT,8,,NEON x Tilden,Comet Drop 1,https://ipfs.tothemoon.net/ipfs/QmTKLRHNCjq2Bm1wRaqWZfPN49CumumVhKxjg4RjN8bUNP,Male Male,22,22,22,Extraterrestrial,Optimism,Determination,,,
Character,Moon,1,Comet,GIN,Moon Duo,"What do you get when you add a born victor to a spirited, yet practical extraterrestrial who can't be tamed….an extraordinary duo ready to face any challenge head-on.",CDNT,9,,NEON x Tilden,Comet Drop 1,https://ipfs.tothemoon.net/ipfs/QmVGZcjiX8n11y9dXaqw8vqaVREfXTCPfGNNjXRs8w98dK,Male Male,22,22,22,Extraterrestrial,Optimism,Determination,,,
Character,Moon,1,Comet,GIN,Moon Duo,"What do you get when you add a born victor to a spirited, yet practical extraterrestrial who can't be tamed….an extraordinary duo ready to face any challenge head-on.",CDNT,10,,NEON x Tilden,Comet Drop 1,https://ipfs.tothemoon.net/ipfs/Qmd8vXtiE9RjF2rUwBrht8vtncXiYx2VkZWduiw9At3Y7c,Male Male,22,22,22,Extraterrestrial,Optimism,Determination,,,
Character,Moon,1,Comet,GIN,Moon Duo,"Quick, with the ability to see beyond the present, this team keeps the faith, not only in the universe but in themselves. They always will come through. Just say jump and they'll fly high.",CDOH,1,,OPAL x Holden,Comet Drop 1,https://ipfs.tothemoon.net/ipfs/QmXqEzpLF8yiYR4wCRYU3sZtaM1txbVEWH8Dm2sPNqhFgs,Male Male,22,22,22,Extraterrestrial,Reliability,Efficiency,,,
Character,Moon,1,Comet,GIN,Moon Duo,"Quick, with the ability to see beyond the present, this team keeps the faith, not only in the universe but in themselves. They always will come through. Just say jump and they'll fly high.",CDOH,2,,OPAL x Holden,Comet Drop 1,https://ipfs.tothemoon.net/ipfs/QmWQATemAmDJjsud9zaecCkrLpbnCgjP5Wjp4XtX17Kohq,Male Male,22,22,22,Extraterrestrial,Reliability,Efficiency,,,
Character,Moon,1,Comet,GIN,Moon Duo,"Quick, with the ability to see beyond the present, this team keeps the faith, not only in the universe but in themselves. They always will come through. Just say jump and they'll fly high.",CDOH,3,,OPAL x Holden,Comet Drop 1,https://ipfs.tothemoon.net/ipfs/QmaxN6XFif5RauNqzF8PitykqJfyhR5BLApMiaGHp7vcPz,Male Male,22,22,22,Extraterrestrial,Reliability,Efficiency,,,
Character,Moon,1,Comet,GIN,Moon Duo,"Quick, with the ability to see beyond the present, this team keeps the faith, not only in the universe but in themselves. They always will come through. Just say jump and they'll fly high.",CDOH,4,,OPAL x Holden,Comet Drop 1,https://ipfs.tothemoon.net/ipfs/QmYeaRbkVk2h9ZDGTuFeq7HdtwXCRqFtx69f7z2RLw7enJ,Male Male,22,22,22,Extraterrestrial,Reliability,Efficiency,,,
Character,Moon,1,Comet,GIN,Moon Duo,"Quick, with the ability to see beyond the present, this team keeps the faith, not only in the universe but in themselves. They always will come through. Just say jump and they'll fly high.",CDOH,5,,OPAL x Holden,Comet Drop 1,https://ipfs.tothemoon.net/ipfs/QmU6ErXP476JC18Gj5VPveK6dsQs9q9qJ3DW3e3SkRtNRg,Male Male,22,22,22,Extraterrestrial,Reliability,Efficiency,,,
Character,Moon,1,Comet,GIN,Moon Duo,"Quick, with the ability to see beyond the present, this team keeps the faith, not only in the universe but in themselves. They always will come through. Just say jump and they'll fly high.",CDOH,6,,OPAL x Holden,Comet Drop 1,https://ipfs.tothemoon.net/ipfs/QmYgSE9M3UmLk5pJRwF9DPuMUrx3cext8vj1EGGGN4Rugq,Male Male,22,22,22,Extraterrestrial,Reliability,Efficiency,,,
Character,Moon,1,Comet,GIN,Moon Duo,"Quick, with the ability to see beyond the present, this team keeps the faith, not only in the universe but in themselves. They always will come through. Just say jump and they'll fly high.",CDOH,7,,OPAL x Holden,Comet Drop 1,https://ipfs.tothemoon.net/ipfs/QmaUWgU59xjWMKv1dV75TN7cz8bsUnrXxtt2S8UezS8bok,Male Male,22,22,22,Extraterrestrial,Reliability,Efficiency,,,
Character,Moon,1,Comet,GIN,Moon Duo,"Quick, with the ability to see beyond the present, this team keeps the faith, not only in the universe but in themselves. They always will come through. Just say jump and they'll fly high.",CDOH,8,,OPAL x Holden,Comet Drop 1,https://ipfs.tothemoon.net/ipfs/QmZdpbuoGUv8XNMWm9D5e2oex5xiiN3xt1427bQtE3tzVo,Male Male,22,22,22,Extraterrestrial,Reliability,Efficiency,,,
Character,Moon,1,Comet,GIN,Moon Duo,"Quick, with the ability to see beyond the present, this team keeps the faith, not only in the universe but in themselves. They always will come through. Just say jump and they'll fly high.",CDOH,9,,OPAL x Holden,Comet Drop 1,https://ipfs.tothemoon.net/ipfs/QmU161hwpyQJGq8vHd1N8nwkGcno5h9KKKFoQA8AVYdqsD,Male Male,22,22,22,Extraterrestrial,Reliability,Efficiency,,,
Character,Moon,1,Comet,GIN,Moon Duo,"Quick, with the ability to see beyond the present, this team keeps the faith, not only in the universe but in themselves. They always will come through. Just say jump and they'll fly high.",CDOH,10,,OPAL x Holden,Comet Drop 1,https://ipfs.tothemoon.net/ipfs/QmW2yW8eRWZPSCXChTbzTcGHBi5j3jbmcZUbCwh4L9Cyad,Male Male,22,22,22,Extraterrestrial,Reliability,Efficiency,,,
Character,Moon,1,Comet,GIN,Moon Duo,"Ying to one's yang. Half this team is all for a good time, but both know to have trust in the universe and the other half offers a calm in the knowing. It also helps both have the ability to feel what's right and what could be.",CDHP,1,,HODL x Piper,Comet Drop 1,https://ipfs.tothemoon.net/ipfs/QmPXgLMVJCoNRhcP8zTz7Xy5vypCjW7YnRnKuBV8u4KDyT,Female Female,22,22,22,Extraterrestrial,Intuition,Faith,,,
Character,Moon,1,Comet,GIN,Moon Duo,"Ying to one's yang. Half this team is all for a good time, but both know to have trust in the universe and the other half offers a calm in the knowing. It also helps both have the ability to feel what's right and what could be.",CDHP,2,,HODL x Piper,Comet Drop 1,https://ipfs.tothemoon.net/ipfs/QmZbq7C5uGqh1DnY3DBTSBbFY741HE8FgGQqtyK156jNie,Female Female,22,22,22,Extraterrestrial,Intuition,Faith,,,
Character,Moon,1,Comet,GIN,Moon Duo,"Ying to one's yang. Half this team is all for a good time, but both know to have trust in the universe and the other half offers a calm in the knowing. It also helps both have the ability to feel what's right and what could be.",CDHP,3,,HODL x Piper,Comet Drop 1,https://ipfs.tothemoon.net/ipfs/QmdaoCF1NTPFH1B85eJSkY2cVPqYs9d6LY3rUnXuvzKhnr,Female Female,22,22,22,Extraterrestrial,Intuition,Faith,,,
