gene,gen1,gen2,gen3,gen4
Beaver,Baxlee,Burlodge,Barkdam,Bastimber
Bovine,Boaz,Bodan,Bovarn,Bullforge
Bear,Bromley,Braglan,Brawnpaw,Borealord
Badger,Brynly,Bryntar,Quarryfang,Brynmaul
Chicken,Chalkly,Scratchlet,Rousecomb,Chargecrest
Cheetah,Chantz,Chanzip,Chazrush,Chasebolt
Crab,Clause,Claven,Clavice,Clamprex
Crocodile,Claxton,Claxguard,Clastodon,Clagator
Camel,Cobie,Cobrune,Cobravan,Caravanguard
Duck,Dalton,Quillwake,Driftwing,Malladrift
Dodo,Dart,Darvo,Darsen,Doldrum
Dragon,Daxton,Daxrel,Drakstorm,Drakspire
Giraffe,Django,Djaraf,Giravelle,Giragant
Dolphin,Dottie,Dorsail,Dorsurge,Dorsonic
Deer,Drucie,Drustel,Drethorn,Druhart
Elephant,Emyra,Emyrin,Tuskwarden,Empyrium
Eagle,Everett,Evraze,Evralon,Evershear
Frog,Fender,Fendrix,Fenstride,Fenward
Fish,Fulure,Currenta,Brinelume,Fyrion
Flamingo,Fortuna,Forlina,Blushwing,Flammirage
Falcon,Fulton,Fulcrest,Faltalon,Falcspear
Gorilla,Gideon,Gidrel,Knuckor,Granbaron
Goat,Gunder,Gundrok,Gundram,Goralhorn
Hippo,Hector,Heftin,Heftusk,Heftorrent
Hawk,Holden,Holmar,Holtalon,Hawkrion
Jellyfish,Jupiter,Jupril,Jupilux,Juphera
Kangaroo,Keats,Keanar,Kikaro,Kangrath
Lion,Lennox,Lenvar,Rumblemane,Leonarch
Lizard,Ludvik,Ludvex,Ludscale,Lithscale
Monkey,Malaki,Malakor,Malimbo,Acrolaki
Mammoth,Minerva,Minervax,Minetusk,Mammolith
Moose,Morfyn,Morfelk,Morfrost,Mornstag
Owl,Orson,Orslet,Orbrow,Orbisage
Octopus,Ova,Inkravel,Ovacron,Ovanox
Pig,Pezi,Pezmar,Pezeron,Pezerk
Penguin,Piper,Pipraxis,Polerix,Polamarch
Parrot,Posey,Posaro,Posquawk,Paracrest
Rhino,Ridley,Ridmar,Rivram,Rodruk
Rabbit,Roz,Rozip,Rozbound,Rotai
Squirrel,Saturn,Satrune,Saturion,Satalis
Shark,Sheldon,Surfscar,Reefbite,Stormjaw
Snake,Sirius,Sircoil,Glassfang,Sibilisk
Sloth,Speed,Snooth,Slowsway,Slumboth
Sabretooth,Speers,Spedran,Spireclaw,Scorchfang
Turtle,Tadeo,Tadshell,Tiderock,Tidecano
Tiger,Tilden,Tilvar,Tilroar,Tigrava
Whale,Wai,Wairen,Waitide,Waveseer
Wolf,Wila,Wildern,Howlgrim,Wulvorn
Wildcat,Wynter,Wynrel,Wynclaw,Wynscar
Zebra,Zandra,Zarnet,Zastri,Zestreak
